phi1      Phi     phi2
2.07865  1.66575  0.34317
5.64535  1.72613  3.14966
0.74239  1.85541  2.71259
6.21041  1.45389  6.26786
3.39282  1.06433  5.09945
4.44169  1.72271  3.05145
6.27999  1.71256  5.61998
1.80861  2.41924  0.86423
2.60452  2.82768  2.45048
2.92067  2.00383  5.82675
4.80009  1.94438  5.76479
5.14092  1.25836  4.48352
0.62971  0.41808  3.88512
1.11914  0.51262  2.15695
2.25966  1.65512  5.88124
0.35629  2.11653  0.78398
3.27911  1.01479  4.59041
2.11021  1.02552  4.06194
1.10376  1.06866  5.23485
1.31285  1.06171  2.50249
5.68724  2.47861  4.71127
4.24361  1.19918  5.24784
2.94348  1.64434  2.02608
5.73110  2.18423  3.46996
0.65352  2.50305  6.15204
4.68441  0.86696  3.45141
4.62610  2.27835  2.07610
3.53028  2.30886  3.89226
1.15733  1.23240  2.26594
3.75239  0.66198  4.75328
1.88455  1.53767  2.60061
0.84272  1.15337  3.09349
1.33582  2.33619  4.36521
5.62308  0.43490  6.11186
0.44895  1.48894  2.05935
1.52359  1.20310  5.26407
0.33775  2.75680  4.64373
2.77542  0.90408  5.99526
0.08346  1.05038  0.20057
5.63722  2.43353  2.24228
1.23564  1.52068  4.16357
0.58666  1.92658  1.76873
1.93124  1.47776  1.44754
2.86550  1.77444  4.46815
0.63881  1.74144  3.92430
6.25421  2.26338  3.71090
2.08659  2.08200  4.14966
1.86829  2.85400  0.29880
0.38984  0.55982  2.19149
1.87393  1.25834  2.83586
0.29123  0.52519  1.51365
3.17570  2.30902  4.49276
4.78417  0.56946  5.37956
3.96513  0.94058  1.76877
0.56481  1.41538  4.59332
0.50807  1.69101  0.86559
4.88355  2.07691  5.25728
5.68714  1.04270  0.87086
3.35379  2.14440  3.69582
0.68584  2.62930  2.30062
5.18871  1.00669  5.06901
2.12433  1.22132  3.16535
1.84708  1.12583  3.07621
4.68923  1.28271  5.51067
0.06495  1.73342  2.21885
0.30440  1.79106  2.82394
4.19664  0.88630  6.05404
3.79169  1.94458  0.26576
3.30560  0.89043  6.11328
4.58489  0.95434  1.18882
4.44380  0.78904  4.19164
4.90954  1.55952  3.68470
1.80942  1.29603  4.24185
4.35132  0.44691  2.26837
3.49766  1.68310  3.89732
2.49141  2.64658  5.09661
0.38698  0.74734  0.12100
4.90198  1.30531  0.52699
2.12110  1.86487  6.12487
3.81934  0.10954  4.09255
4.65743  2.15515  1.45291
0.65856  1.26096  2.53521
0.80355  1.35924  0.76668
3.45285  1.79827  1.68665
3.04879  2.36831  1.62009
5.59502  2.82317  2.08391
5.02002  1.72923  0.95651
4.61400  2.25467  2.18660
0.32253  1.10229  0.76440
0.45795  1.83307  5.55530
0.55623  0.81877  0.59237
5.01618  1.08325  5.84362
5.92510  1.42826  2.50711
4.29592  2.27350  0.29783
0.82990  0.41586  2.15119
4.54102  2.05935  4.62421
0.69337  0.55640  4.99314
0.73823  2.15611  3.42374
4.02574  1.82645  4.31166
2.06600  2.54099  5.61486
4.10802  1.28676  0.34427
4.70693  2.26369  1.90796
3.66427  2.71383  0.29023
4.64977  1.10812  1.22822
1.47546  1.88087  4.52494
4.61788  1.24377  4.53491
6.09844  1.80519  5.51538
5.44709  1.31327  3.65954
0.54183  2.84625  0.44412
